fips,n_cont,own_train_size,test_size,county_y_mean,county_y_std,model,model_label,mape,r2,mae,rmse,time
1079,42,356,90,11.253384883522996,0.93459155568638,ft_pipeline,(C) FT FT-pipeline,165.4392454016572,-0.024329072689879494,70295.2415278691,100886.3175423564,0.3089165687561035
29063,43,176,45,11.792058265884878,0.5878109047163752,zs_regressor,(A) ZS TabPFNRegressor,42.738470780880085,0.18342942264675655,54744.57814583334,66480.25378665038,1.5149049758911133
29063,43,176,45,11.792058265884878,0.5878109047163752,zs_ft_pipeline,(B) ZS FT-pipeline,37.16229631869222,0.296702580656379,50702.9729375,61697.18039367459,0.1368246078491211
29063,43,176,45,11.792058265884878,0.5878109047163752,ft_pipeline,(C) FT FT-pipeline,82.4196084235953,-0.24970434244228334,63424.60588888888,82243.09480505138,0.13799595832824707
21201,43,92,24,11.196047156036009,0.9956114389360488,zs_regressor,(A) ZS TabPFNRegressor,34.957624443883226,0.06729517543278118,57328.20086863891,79537.10450327514,0.9897477626800537
21201,43,92,24,11.196047156036009,0.9956114389360488,zs_ft_pipeline,(B) ZS FT-pipeline,61.37239927822241,-0.11490983656621268,72593.53973582643,86959.60105907844,0.07469749450683594
21201,43,92,24,11.196047156036009,0.9956114389360488,ft_pipeline,(C) FT FT-pipeline,44.79062537154388,0.02321877135966599,64334.69924103475,81394.73575418764,0.07621884346008301
48391,43,222,56,11.749281061914626,0.7693530444789429,zs_regressor,(A) ZS TabPFNRegressor,43.64000083747104,0.5265680202575319,57352.73992781619,72437.77652782024,1.9655108451843262
48391,43,222,56,11.749281061914626,0.7693530444789429,zs_ft_pipeline,(B) ZS FT-pipeline,386.5438057136194,-11.681297796596494,346752.1565258669,374902.3532847467,0.28571295738220215
48391,43,222,56,11.749281061914626,0.7693530444789429,ft_pipeline,(C) FT FT-pipeline,125.75405942958022,-0.22048704922458406,98862.86156565101,116306.20992796672,0.1702561378479004
