model,train_size,test_size,n_features,fit_time,pred_time,r2,mae,rmse,mse,fips,bin_name,repetition,fold,status,experiment_name,experiment_description,hyperparam_max_depth,hyperparam_learning_rate,hyperparam_n_estimators,hyperparam_subsample,hyperparam_colsample_bytree,hyperparam_min_child_weight,hyperparam_reg_alpha,hyperparam_reg_lambda,hyperparam_gamma,tune_time
tabpfn,68,18,39,0.2758042812347412,0.13442611694335938,0.2908936729170838,68129.05501302087,168782.22012432868,28487437830.097343,1011,small,3,0,success,within_county_full_preprocessing,Within-county repeated k-fold CV with full preprocessing,,,,,,,,,,
xgboost,68,18,39,8.058464288711548,0.0026483535766601562,0.6136330609801959,62830.97894965282,124586.5023556945,15521796569.225471,1011,small,3,0,success,within_county_full_preprocessing,Within-county repeated k-fold CV with full preprocessing,4.0,0.013166453535563498,350.0,0.9318762346887914,0.971678770838371,7.0,0.9569335487150137,1.47110025195312,0.17372112505045564,7.994192600250244
tabpfn,69,17,39,0.2692286968231201,0.1342775821685791,0.6388041911717269,56886.298368566175,110130.82054832531,12128797634.647434,1011,small,3,1,success,within_county_full_preprocessing,Within-county repeated k-fold CV with full preprocessing,,,,,,,,,,
xgboost,69,17,39,6.665707349777222,0.0026082992553710938,0.09754206448565672,76433.06927849267,174080.85374917317,30304143642.041016,1011,small,3,1,success,within_county_full_preprocessing,Within-county repeated k-fold CV with full preprocessing,2.0,0.035076459793632664,350.0,0.7222535818031177,0.956507986853723,7.0,0.019086394481728636,0.22271293281170948,0.6321431297015851,6.616350412368774
tabpfn,69,17,39,0.2712111473083496,0.13456082344055176,0.744530150152891,63142.93491498162,103716.70708585253,10757155328.732533,1011,small,3,2,success,within_county_full_preprocessing,Within-county repeated k-fold CV with full preprocessing,,,,,,,,,,
xgboost,69,17,39,7.416137933731079,0.002592325210571289,0.6504145221750943,61972.956227022085,121326.47646597234,14720113891.64814,1011,small,3,2,success,within_county_full_preprocessing,Within-county repeated k-fold CV with full preprocessing,4.0,0.04601663530522167,200.0,0.7125074814006008,0.9958449368013472,5.0,0.9323861855260456,1.2386010517910475,0.893226439082959,7.379721403121948
tabpfn,69,17,39,0.27112627029418945,0.13501644134521484,0.38997345385869886,103534.65113740813,158802.22687065083,25218147259.077656,1011,small,3,3,success,within_county_full_preprocessing,Within-county repeated k-fold CV with full preprocessing,,,,,,,,,,
xgboost,69,17,39,6.155524015426636,0.002554655075073242,0.27830735400084783,112475.48385799627,172726.25663251177,29834359730.28031,1011,small,3,3,success,within_county_full_preprocessing,Within-county repeated k-fold CV with full preprocessing,3.0,0.11984159057232797,350.0,0.9259460623111406,0.8052015862622556,10.0,0.08942936526822658,1.6372460821510613,0.7954892516536085,6.1108033657073975
tabpfn,69,17,39,0.2707970142364502,0.13533687591552734,0.5905619617217311,81160.84696691182,149114.62231824177,22235170589.11189,1011,small,3,4,success,within_county_full_preprocessing,Within-county repeated k-fold CV with full preprocessing,,,,,,,,,,
xgboost,69,17,39,6.123793363571167,0.002603292465209961,0.7268781232979709,69535.46978400744,121787.96758639658,14832309048.825186,1011,small,3,4,success,within_county_full_preprocessing,Within-county repeated k-fold CV with full preprocessing,5.0,0.05474144961051728,150.0,0.9372883064580194,0.9101308256763347,9.0,0.014366973253868225,0.13912728850817985,0.07556719635953446,6.08708643913269
tabpfn,68,18,39,0.26662206649780273,0.1352696418762207,0.37615007155516555,82724.04014756953,176252.80165424175,31065050090.969482,1011,small,4,0,success,within_county_full_preprocessing,Within-county repeated k-fold CV with full preprocessing,,,,,,,,,,
