seed,train_size,test_type,n_train,n_test,n_train_cbgs,n_test_cbgs,mae,mse,r2,mean_ratio,median_ratio,std_ratio,train_time,pred_time,status,tune_time
300,800,full,800,39011,0,0,139228.01561839128,51527714998.999756,0.5192899488744545,1.076477398343703,0.9026497656249998,0.7379209628916785,9.91231632232666,0.03896689414978027,success,9.662571668624878
300,900,full,900,39011,0,0,139348.2760873936,52202872193.83453,0.5129913026089814,1.0770683604336297,0.9102668447955384,0.7232309870832138,10.01090145111084,0.05544447898864746,success,9.565034627914429
300,1000,full,1000,39011,0,0,139416.3715957118,52537310073.71667,0.5098712797176193,1.0517086124848736,0.8937333887043195,0.6975057409330144,10.313276529312134,0.05602216720581055,success,9.824310779571533
300,2000,full,2000,39011,0,0,134811.14848956864,48968011313.678474,0.5431698218604954,1.069525901170131,0.9100572916666662,0.6882387851185441,11.856964349746704,0.05461478233337402,success,11.349048376083374
300,3000,full,3000,39011,0,0,134020.0236211421,48539940701.55672,0.5471633590441721,1.084772474977627,0.9175211297071136,0.7148858579778773,12.391729354858398,0.054755449295043945,success,11.874157667160034
300,4000,full,4000,39011,0,0,132329.7372750234,47338258835.76223,0.5583740356898166,1.081514613315886,0.9156580459770107,0.7077657729564769,13.764296054840088,0.05430126190185547,success,13.188140153884888
300,5000,full,5000,39011,0,0,129775.18831307195,44959259378.35677,0.5805680908855344,1.0865288940121436,0.9191040598290605,0.7121977476054793,14.149045944213867,0.052084922790527344,success,13.575411558151245
300,6000,full,6000,39011,0,0,128059.20997943688,43736757846.24165,0.5919729974298189,1.0961904927746389,0.9282650390624995,0.7145414582975955,14.995782136917114,0.053626060485839844,success,14.349039554595947
300,7000,full,7000,39011,0,0,128029.36361058419,44102392551.87003,0.5885619345088393,1.095087464499802,0.9270205668604647,0.7091906314120614,28.893767833709717,0.05588269233703613,success,28.237685680389404
300,8000,full,8000,39011,0,0,127002.20504052543,43170532657.5791,0.5972554001017758,1.101341714200942,0.9333804783950614,0.7176170035534533,15.684402465820312,0.05234384536743164,success,15.059550046920776
300,9000,full,9000,39011,0,0,127616.02977145067,43757116177.54663,0.5917830713971463,1.0812535994974732,0.9172391304347823,0.7015319728080598,16.34254741668701,0.0537259578704834,success,15.681427240371704
300,10000,full,10000,39011,0,0,128567.24602415824,44543679214.82115,0.5844451027356397,1.0611673163149802,0.9021481370192302,0.6812724395119869,16.500320196151733,0.05411863327026367,success,15.841480493545532
400,25,full,25,39011,0,0,185815.75506267464,103962476206.10832,0.030117922885834036,1.0938458019121726,0.8821891221374043,0.8427254682207227,1.9913218021392822,0.009748458862304688,success,1.9181525707244873
400,50,full,50,39011,0,0,169984.55565097023,83480211415.76775,0.22120015027982398,1.0821707313050992,0.8752220826048954,0.8085599993205297,2.1129815578460693,0.011541128158569336,success,2.034937620162964
400,75,full,75,39011,0,0,183005.10728864936,102094957712.06802,0.047540292784546634,0.9578988020784724,0.7954131740196083,0.6882074937104576,2.151737928390503,0.007475137710571289,success,2.1226518154144287
400,100,full,100,39011,0,0,160924.96355655295,68325317017.98941,0.36258251239115935,1.0263089782599235,0.8426131250000003,0.7643771896858305,5.953545331954956,0.01892828941345215,success,5.886984586715698
400,200,full,200,39011,0,0,156749.9713206892,66612587463.31593,0.3785608322488767,1.0668398702993387,0.8752812500000007,0.8390005419072368,7.4861838817596436,0.1188654899597168,success,6.816119194030762
400,300,full,300,39011,0,0,156801.35792448765,71139416969.34595,0.3363293371530326,1.0262683984119105,0.8617675271739138,0.7123126602677698,7.6132776737213135,0.026146888732910156,success,7.5044262409210205
400,400,full,400,39011,0,0,147354.7512470441,59381604779.02289,0.44601979207121545,1.0561485494526903,0.8881381231117826,0.7408382085421448,8.913973569869995,0.06026506423950195,success,8.50701355934143
