seed,train_size,test_type,n_train,n_test,n_train_cbgs,n_test_cbgs,mae,mse,r2,mean_ratio,median_ratio,std_ratio,train_time,pred_time,status
1200,10000,full,10000,39011,0,0,123382.02895877925,40678603328.90746,0.6205029955950019,1.0895353837345405,0.924938963210703,0.6907951338063015,2.6750292778015137,202.55252814292908,success
1300,25,full,25,39011,0,0,178200.23057278717,90199390571.46692,0.15851588501557645,1.0142452989426198,0.831849537037037,0.722968616233559,0.3892078399658203,11.516875982284546,success
1300,50,full,50,39011,0,0,164508.6792893751,72806481687.97725,0.3207770316386428,0.9151831662446105,0.7685356034482753,0.5954932626053863,0.41362905502319336,11.886186599731445,success
1300,75,full,75,39011,0,0,164586.89681395952,72241798859.74754,0.3260450453907233,0.9148421659291978,0.7786665954415952,0.5815225191310245,0.4206812381744385,11.908750295639038,success
1300,100,full,100,39011,0,0,161067.88022328637,68147965542.44616,0.36423705183419974,0.9434059463167159,0.7986784134615388,0.6071768883309753,0.4607210159301758,12.123221158981323,success
1300,200,full,200,39011,0,0,151689.1453832733,61791868621.67574,0.42353406657280745,0.9830085749045386,0.8330246951219511,0.625630826223278,0.33356571197509766,16.20075225830078,success
1300,300,full,300,39011,0,0,145467.7124657148,56588522539.42522,0.47207688981406926,0.9943335510255625,0.8494769773230088,0.6283363627325806,0.36033082008361816,17.391644716262817,success
1300,400,full,400,39011,0,0,142483.76845673335,54971986609.573326,0.4871578044150848,1.0221122122941744,0.8730095833333329,0.643760277119158,0.3764803409576416,18.2239248752594,success
1300,500,full,500,39011,0,0,141782.38292244496,53743820499.951324,0.4986155566821612,0.999448798112241,0.8520532703488369,0.634631321552023,0.39843153953552246,19.154235124588013,success
1300,600,full,600,39011,0,0,142407.997666123,54461151217.85925,0.4919234670739544,0.9921836424659626,0.8450122767857138,0.6254925958159082,0.41834211349487305,20.246595859527588,success
1300,700,full,700,39011,0,0,141323.7773390438,53670608853.935135,0.4992985594914282,1.0055790691447815,0.8521065406976741,0.6393739146624836,0.4238598346710205,21.56630563735962,success
1300,800,full,800,39011,0,0,137068.3076826488,51001054376.61072,0.5242032475666119,1.0596204350871274,0.8933290000000006,0.679698856216936,0.5309717655181885,23.526023864746094,success
1300,900,full,900,39011,0,0,135625.35377161248,49587595108.74193,0.5373896284673421,1.0664009816777804,0.8999611666666663,0.682016511707841,0.4615154266357422,25.19808340072632,success
1300,1000,full,1000,39011,0,0,136219.79279101567,49910045549.11876,0.5343814382597614,1.0487318454667862,0.8862392708333336,0.6713414668999154,0.5135660171508789,27.590059518814087,success
1300,2000,full,2000,39011,0,0,132775.187707073,47863754212.51866,0.5534716077550299,1.0597409963562834,0.9034196908602149,0.6640054352096362,0.7103943824768066,47.301172494888306,success
1300,3000,full,3000,39011,0,0,130839.36664218103,46516044704.45664,0.5660445989411411,1.0454103313087584,0.8869080071174373,0.6554366154779467,0.9708826541900635,42.15653443336487,success
1300,4000,full,4000,39011,0,0,129850.24218109155,45311886439.35973,0.5772783783002534,1.0483061393376187,0.8866791911764713,0.6660658804691979,1.1985270977020264,58.7329421043396,success
1300,5000,full,5000,39011,0,0,127702.6055854038,44040815523.86096,0.5891363961608449,1.0631128121180309,0.898903557692308,0.6737643795582916,1.4545292854309082,76.5525426864624,success
1300,6000,full,6000,39011,0,0,127107.75534845139,43796476937.17849,0.5914158687611408,1.058608788422228,0.9011129137630669,0.6605773927688813,1.7806689739227295,95.3338770866394,success
1300,7000,full,7000,39011,0,0,126249.54577675207,43205886894.75088,0.5969255749356748,1.0607115432306375,0.9037540972222216,0.6610122712746936,1.941199779510498,119.79802012443542,success
1300,8000,full,8000,39011,0,0,125531.22274246367,42782568480.63297,0.6008747781265587,1.0696406972761996,0.9120945165094344,0.6636868514435459,2.240151882171631,145.08516359329224,success
1300,9000,full,9000,39011,0,0,124918.13873190414,42117436314.46902,0.6070798993435217,1.0757062820398313,0.9165094992897725,0.6691189349009973,2.4123339653015137,173.69664454460144,success
1300,10000,full,10000,39011,0,0,124050.87241258875,41502480035.466675,0.6128169219210788,1.0877943077776857,0.9239143203883486,0.6803448366052983,2.6453254222869873,202.64529490470886,success
1400,25,full,25,39011,0,0,156791.79514632092,67307960100.167725,0.3720735929870772,1.0834898767396388,0.9067623873873876,0.7418423827602079,0.42504453659057617,11.791999340057373,success
1400,50,full,50,39011,0,0,165261.4694268924,64205391237.16765,0.401017939476772,1.0946104434679407,0.9007291087962971,0.73934192018097,0.4291670322418213,12.090155363082886,success
