model,train_size,test_size,n_features,fit_time,pred_time,r2,mae,rmse,mse,seed,status,experiment_name,experiment_description,hyperparam_max_depth,hyperparam_learning_rate,hyperparam_n_estimators,hyperparam_subsample,hyperparam_colsample_bytree,hyperparam_min_child_weight,hyperparam_reg_alpha,hyperparam_reg_lambda,hyperparam_gamma,tune_time
tabpfn,1000,42306,82,0.43905138969421387,86.24767303466797,0.02634926556826145,187618.70558328016,1851024.0897968474,3426290181008.2476,9,success,cook_county_no_preprocessing,Cook County learning curves with no preprocessing,,,,,,,,,,
tabpfn,2000,42306,82,0.5316054821014404,28.46229314804077,0.16896173092978417,176864.88843208557,1710097.943146777,2924434975154.8374,0,success,cook_county_no_preprocessing,Cook County learning curves with no preprocessing,,,,,,,,,,
tabpfn,2000,42306,82,0.5348291397094727,28.171578884124756,0.3186014705134391,178320.46246875444,1548499.4981295601,2397850695707.5,1,success,cook_county_no_preprocessing,Cook County learning curves with no preprocessing,,,,,,,,,,
tabpfn,2000,42306,82,0.5475237369537354,28.16269588470459,0.12965969805581934,178825.19324109613,1750068.3882475777,3062739363543.4746,2,success,cook_county_no_preprocessing,Cook County learning curves with no preprocessing,,,,,,,,,,
tabpfn,2000,42306,82,0.5305731296539307,28.16713547706604,0.1820184632257067,177493.35067425424,1696610.7852328157,2878488156568.3115,3,success,cook_county_no_preprocessing,Cook County learning curves with no preprocessing,,,,,,,,,,
tabpfn,2000,42306,82,0.5481541156768799,28.050415515899658,0.10528060332202427,179101.53467076184,1774409.6848219417,3148529729589.9023,4,success,cook_county_no_preprocessing,Cook County learning curves with no preprocessing,,,,,,,,,,
tabpfn,2000,42306,82,0.5377585887908936,28.054598093032837,0.07406875605640917,177232.28209429514,1805094.0819679112,3258364644755.576,5,success,cook_county_no_preprocessing,Cook County learning curves with no preprocessing,,,,,,,,,,
tabpfn,2000,42306,82,0.5362980365753174,28.178504943847656,0.06679146384918266,178467.2408638107,1812173.7044335874,3283973535040.5513,6,success,cook_county_no_preprocessing,Cook County learning curves with no preprocessing,,,,,,,,,,
tabpfn,2000,42306,82,0.5412752628326416,28.050362825393677,0.07143951628436196,176080.12128561846,1807655.1040738618,3267616975284.284,7,success,cook_county_no_preprocessing,Cook County learning curves with no preprocessing,,,,,,,,,,
tabpfn,2000,42306,82,0.5324127674102783,28.05709981918335,0.04185158721612159,179170.79022035882,1836229.0979667944,3371737300219.9478,8,success,cook_county_no_preprocessing,Cook County learning curves with no preprocessing,,,,,,,,,,
tabpfn,2000,42306,82,0.5460453033447266,28.043097257614136,0.08080419742831824,177649.24218620732,1798516.7597028327,3234662534931.977,9,success,cook_county_no_preprocessing,Cook County learning curves with no preprocessing,,,,,,,,,,
tabpfn,5000,42306,82,1.0400331020355225,71.73821544647217,0.05160878887050013,174943.88667313737,1826855.6524397908,3337401574851.214,0,success,cook_county_no_preprocessing,Cook County learning curves with no preprocessing,,,,,,,,,,
tabpfn,5000,42306,82,1.0474860668182373,71.37400412559509,0.2836573060077796,173423.32729787886,1587708.9424762842,2520819686019.1606,1,success,cook_county_no_preprocessing,Cook County learning curves with no preprocessing,,,,,,,,,,
tabpfn,5000,42306,82,1.0478439331054688,71.3376088142395,0.18224625517630733,175337.57847161897,1696374.532228963,2877686553595.0327,2,success,cook_county_no_preprocessing,Cook County learning curves with no preprocessing,,,,,,,,,,
tabpfn,5000,42306,82,1.0407094955444336,71.47420239448547,0.21450415399222544,174095.21121191437,1662579.4924731522,2764170568792.284,3,success,cook_county_no_preprocessing,Cook County learning curves with no preprocessing,,,,,,,,,,
tabpfn,5000,42306,82,1.052907943725586,72.31498551368713,0.13703774863462803,176595.92310857208,1742634.7589721952,3036775903178.081,4,success,cook_county_no_preprocessing,Cook County learning curves with no preprocessing,,,,,,,,,,
tabpfn,5000,42306,82,1.036508321762085,73.01069140434265,0.09921956809978927,174748.69996591058,1780409.6705526751,3169858594997.4854,5,success,cook_county_no_preprocessing,Cook County learning curves with no preprocessing,,,,,,,,,,
tabpfn,5000,42306,82,1.041947603225708,71.35638213157654,0.09866189129789049,174661.0854256045,1780960.7146847947,3171821067250.574,6,success,cook_county_no_preprocessing,Cook County learning curves with no preprocessing,,,,,,,,,,
tabpfn,5000,42306,82,1.0508427619934082,73.78299117088318,0.1205587981396481,174237.108091568,1759194.575414117,3094765554166.4556,7,success,cook_county_no_preprocessing,Cook County learning curves with no preprocessing,,,,,,,,,,
tabpfn,5000,42306,82,1.0245153903961182,71.60151982307434,0.05811839865800272,175663.39389101134,1820575.2303724186,3314494169445.5854,8,success,cook_county_no_preprocessing,Cook County learning curves with no preprocessing,,,,,,,,,,
tabpfn,5000,42306,82,1.0542261600494385,71.33147692680359,0.13746917670186543,173786.49473275806,1742199.0993970474,3035257701939.8833,9,success,cook_county_no_preprocessing,Cook County learning curves with no preprocessing,,,,,,,,,,
xgboost,50,42306,82,6.946459054946899,0.016907930374145508,0.021251035680879493,218282.52698531238,1855863.9285635927,3444230921343.4917,0,success,cook_county_no_preprocessing,Cook County learning curves with no preprocessing,2.0,0.04043535824607918,50.0,0.782372693380045,0.8554484075807476,3.0,0.08130334006555182,1.3341416035291875,0.37163870846741337,6.833572626113892
xgboost,50,42306,82,7.990899085998535,0.017746448516845703,0.02468014995837775,209862.0972143431,1852610.002549859,3432163821547.7886,1,success,cook_county_no_preprocessing,Cook County learning curves with no preprocessing,4.0,0.07500118950416987,50.0,0.8822634555704315,0.7511572371061874,3.0,0.7902619549708229,8.536189862866832,0.7246804518258448,7.9613196849823
xgboost,50,42306,82,10.792632579803467,0.08196449279785156,0.029773043322286363,241254.00972956888,1847766.7224277123,3414241860511.2505,2,success,cook_county_no_preprocessing,Cook County learning curves with no preprocessing,4.0,0.01177109003123776,450.0,0.8669252808220912,0.7555311227854034,3.0,0.16819598728210441,0.46612073058771225,0.020081846048330028,10.692805528640747
xgboost,50,42306,82,9.481098651885986,0.03186774253845215,0.01808972928972985,241511.3063417423,1858858.682510212,3455355601543.601,3,success,cook_county_no_preprocessing,Cook County learning curves with no preprocessing,3.0,0.012809650594065343,200.0,0.887832373532924,0.8494718533558326,5.0,0.028421436373174014,1.9502319128701142,0.032638557988305096,9.42884111404419
xgboost,50,42306,82,8.634798049926758,0.01983332633972168,0.0250456155503459,239540.86812068897,1852262.8709655344,3430877743157.484,4,success,cook_county_no_preprocessing,Cook County learning curves with no preprocessing,2.0,0.04388157982780893,200.0,0.9543346547787641,0.9005622080440233,3.0,0.021998291851483828,0.2691865425265641,0.07969580951991118,8.584666728973389
xgboost,50,42306,82,6.7545998096466064,0.016309022903442383,0.017332828870214256,215085.16418327187,1859574.9902645836,3458019144417.526,5,success,cook_county_no_preprocessing,Cook County learning curves with no preprocessing,3.0,0.024292810014265195,50.0,0.7027298112135423,0.9296817801963371,4.0,0.07195234638627228,0.19473191078801808,0.05809996702939396,6.725938081741333
xgboost,50,42306,82,7.595985651016235,0.023511886596679688,0.02216932948682715,215627.1940283293,1854993.1085982372,3440999432946.9517,6,success,cook_county_no_preprocessing,Cook County learning curves with no preprocessing,2.0,0.013430975910475065,250.0,0.7579020347658104,0.7224624692173752,3.0,0.015329704310636632,7.322503823245221,0.6307669232033031,7.538804769515991
xgboost,50,42306,82,7.468055963516235,0.025115251541137695,0.020634891615198048,228878.8259149116,1856447.9903011774,3446399140693.2803,7,success,cook_county_no_preprocessing,Cook County learning curves with no preprocessing,4.0,0.011146009030555888,200.0,0.9860967577653723,0.7790980847319411,7.0,0.016867063275424223,7.422886728661553,0.05784793031799915,7.415788173675537
xgboost,50,42306,82,9.275821447372437,0.024292707443237305,0.009545535702675134,207213.0968459335,1866928.6903951145,3485422735020.417,8,success,cook_county_no_preprocessing,Cook County learning curves with no preprocessing,2.0,0.010291077421588543,250.0,0.8745442875743187,0.9103372664825011,5.0,0.02306721380430163,0.3472844455536548,0.03315947457120423,9.218525648117065
xgboost,50,42306,82,7.956626653671265,0.032945871353149414,0.008106815674405077,243769.16381269819,1868284.1353428343,3490485610373.722,9,success,cook_county_no_preprocessing,Cook County learning curves with no preprocessing,4.0,0.19538386762277937,200.0,0.8230892058959935,0.9039811862654673,10.0,0.136000704515683,7.571026611920344,0.35046439936517537,7.904646396636963
xgboost,100,42306,82,13.091108322143555,0.04563283920288086,0.024293253262176684,205342.56397271517,1852977.419259463,3433525316285.4595,0,success,cook_county_no_preprocessing,Cook County learning curves with no preprocessing,3.0,0.010038455317965484,350.0,0.9386760636341618,0.6996681352973491,4.0,5.726721303682618e-07,1.8555343054584383,1.0092214942254774e-08,13.012906074523926
xgboost,100,42306,82,12.27132534980774,0.03212690353393555,0.016962231516360116,217447.21203774287,1859925.6118317542,3459323281547.725,1,success,cook_county_no_preprocessing,Cook County learning curves with no preprocessing,8.0,0.018433100901120894,100.0,0.910001998468094,0.6028512714909278,8.0,0.00028154581068513964,4.293548978340383,2.9819710058734236e-05,12.23132061958313
xgboost,100,42306,82,26.623756885528564,0.1431138515472412,0.02848428859924279,216985.79122486367,1848993.5115935863,3418777005915.1816,2,success,cook_county_no_preprocessing,Cook County learning curves with no preprocessing,4.0,0.02885645768108196,950.0,0.9658020465692422,0.7898417436706889,2.0,1.6773854080470567e-06,1.1961249970254815,0.22468104372194053,26.414364099502563
xgboost,100,42306,82,15.169912099838257,0.0663905143737793,0.022797251903951543,216826.25194897,1854397.4130207878,3438789765418.19,3,success,cook_county_no_preprocessing,Cook County learning curves with no preprocessing,9.0,0.01217484169844739,150.0,0.7248006166132267,0.6622381011524294,4.0,3.346370053458453e-05,0.5481353566881374,2.1273196262037974e-05,15.113141536712646
