model,train_size,test_size,n_features,fit_time,pred_time,r2,mae,rmse,mse,seed,status,experiment_name,experiment_description,hyperparam_max_depth,hyperparam_learning_rate,hyperparam_n_estimators,hyperparam_subsample,hyperparam_colsample_bytree,hyperparam_min_child_weight,hyperparam_reg_alpha,hyperparam_reg_lambda,hyperparam_gamma,tune_time
tabpfn,500,39011,69,0.3421356678009033,12.808109521865845,0.5319428265896025,137424.2095829141,223989.82652488688,50171442386.64892,0,success,cook_county_with_preprocessing,Cook County learning curves with preprocessing,,,,,,,,,,
tabpfn,500,39011,69,0.3435208797454834,12.966105699539185,0.5613291895167192,132114.83757005236,216844.3990737865,47021493409.67158,1,success,cook_county_with_preprocessing,Cook County learning curves with preprocessing,,,,,,,,,,
tabpfn,500,39011,69,0.36531758308410645,13.6305992603302,0.5224241513975564,136696.24118197433,226255.95504308006,51191757192.45627,2,success,cook_county_with_preprocessing,Cook County learning curves with preprocessing,,,,,,,,,,
tabpfn,500,39011,69,0.34602832794189453,13.051538944244385,0.4735338129306933,143720.60924402732,237554.9488523578,56432353724.24633,3,success,cook_county_with_preprocessing,Cook County learning curves with preprocessing,,,,,,,,,,
tabpfn,500,39011,69,0.344573974609375,13.120081186294556,0.5088247013201659,145134.8017936848,229454.77483167802,52649493693.05606,4,success,cook_county_with_preprocessing,Cook County learning curves with preprocessing,,,,,,,,,,
tabpfn,500,39011,69,0.3554830551147461,13.558842897415161,0.47000552861707723,149566.6684482822,238349.64545729436,56810553489.61793,5,success,cook_county_with_preprocessing,Cook County learning curves with preprocessing,,,,,,,,,,
tabpfn,500,39011,69,0.37063002586364746,13.568748474121094,0.5065244360320936,142868.69561469843,229991.43693938415,52896061065.44272,6,success,cook_county_with_preprocessing,Cook County learning curves with preprocessing,,,,,,,,,,
tabpfn,500,39011,69,0.34467029571533203,12.942410469055176,0.49170827627092484,143636.40480449423,233418.5461808132,54484217701.16443,7,success,cook_county_with_preprocessing,Cook County learning curves with preprocessing,,,,,,,,,,
tabpfn,500,39011,69,0.338118314743042,12.979849338531494,0.5195324555760925,139719.09653286892,226939.9050443325,51501720501.53065,8,success,cook_county_with_preprocessing,Cook County learning curves with preprocessing,,,,,,,,,,
tabpfn,500,39011,69,0.36197900772094727,13.637062072753906,0.5730557228011766,132873.48898107265,213926.42762538858,45764516436.560616,9,success,cook_county_with_preprocessing,Cook County learning curves with preprocessing,,,,,,,,,,
tabpfn,1000,39011,69,0.4032127857208252,16.71246838569641,0.5753836486584378,131807.85863983075,213342.41046843072,45514984104.480385,0,success,cook_county_with_preprocessing,Cook County learning curves with preprocessing,,,,,,,,,,
tabpfn,1000,39011,69,0.4403417110443115,18.17171812057495,0.5694443016630346,131352.41772613014,214829.29899836826,46151627708.13031,1,success,cook_county_with_preprocessing,Cook County learning curves with preprocessing,,,,,,,,,,
tabpfn,1000,39011,69,0.4258701801300049,18.01785397529602,0.5512719405661755,134056.3992960319,219316.06961181763,48099538389.97563,2,success,cook_county_with_preprocessing,Cook County learning curves with preprocessing,,,,,,,,,,
tabpfn,1000,39011,69,0.4336988925933838,18.139911651611328,0.5593194400932209,133619.45049613412,217340.56257865028,47236920142.0042,3,success,cook_county_with_preprocessing,Cook County learning curves with preprocessing,,,,,,,,,,
tabpfn,1000,39011,69,0.4339945316314697,17.58294939994812,0.5706174955296048,133646.36482158076,214536.41199125772,46025872070.08267,4,success,cook_county_with_preprocessing,Cook County learning curves with preprocessing,,,,,,,,,,
tabpfn,1000,39011,69,0.42332029342651367,18.08644461631775,0.5698257150387755,132277.16476823043,214734.12324859985,46110743687.344864,5,success,cook_county_with_preprocessing,Cook County learning curves with preprocessing,,,,,,,,,,
tabpfn,1000,39011,69,0.4225902557373047,18.003122806549072,0.5788099935253577,131601.40843528108,212479.90802474404,45147711314.20369,6,success,cook_county_with_preprocessing,Cook County learning curves with preprocessing,,,,,,,,,,
tabpfn,1000,39011,69,0.4389193058013916,17.935400247573853,0.5660312027072121,133095.20873599753,215679.1150251856,46517480658.04724,7,success,cook_county_with_preprocessing,Cook County learning curves with preprocessing,,,,,,,,,,
tabpfn,1000,39011,69,0.4067380428314209,16.879353761672974,0.5467238655955098,135518.57632883193,220424.7045461221,48587050374.245224,8,success,cook_county_with_preprocessing,Cook County learning curves with preprocessing,,,,,,,,,,
tabpfn,1000,39011,69,0.4401376247406006,18.14311385154724,0.5678019799338999,132739.0643488375,215238.63397781595,46327669556.63622,9,success,cook_county_with_preprocessing,Cook County learning curves with preprocessing,,,,,,,,,,
tabpfn,2000,39011,69,0.5811467170715332,29.36946439743042,0.5829566539015262,129096.81161543379,211431.37727923278,44703227298.193275,0,success,cook_county_with_preprocessing,Cook County learning curves with preprocessing,,,,,,,,,,
tabpfn,2000,39011,69,0.5829999446868896,29.319797039031982,0.608026757070421,126660.95314482614,204977.90573069648,42015941837.742294,1,success,cook_county_with_preprocessing,Cook County learning curves with preprocessing,,,,,,,,,,
tabpfn,2000,39011,69,0.5672094821929932,29.29440999031067,0.5737211798609458,129636.02074675252,213759.64430687454,45693185534.20152,2,success,cook_county_with_preprocessing,Cook County learning curves with preprocessing,,,,,,,,,,
tabpfn,2000,39011,69,0.598616361618042,29.552439212799072,0.5885612452078037,128689.33104244636,210005.87239081727,44102466438.62823,3,success,cook_county_with_preprocessing,Cook County learning curves with preprocessing,,,,,,,,,,
tabpfn,2000,39011,69,0.5727779865264893,29.565459489822388,0.601160781323242,127554.52525669843,206765.35386096116,42751911557.24848,4,success,cook_county_with_preprocessing,Cook County learning curves with preprocessing,,,,,,,,,,
tabpfn,2000,39011,69,0.5855638980865479,29.562906503677368,0.6169544547796164,126421.17963923638,202630.14189837067,41058974405.75384,5,success,cook_county_with_preprocessing,Cook County learning curves with preprocessing,,,,,,,,,,
tabpfn,2000,39011,69,0.56760573387146,29.503297805786133,0.6162504608298867,126239.93981845662,202816.26194608927,41134436109.7847,6,success,cook_county_with_preprocessing,Cook County learning curves with preprocessing,,,,,,,,,,
tabpfn,2000,39011,69,0.5829930305480957,29.03033995628357,0.5622641158942134,131679.92385240702,216613.19873066442,46921277864.330315,7,success,cook_county_with_preprocessing,Cook County learning curves with preprocessing,,,,,,,,,,
tabpfn,2000,39011,69,0.5728778839111328,29.796987533569336,0.5748598797139817,131170.32860242945,213473.95002317877,45571127338.49863,8,success,cook_county_with_preprocessing,Cook County learning curves with preprocessing,,,,,,,,,,
tabpfn,2000,39011,69,0.5969281196594238,29.291006088256836,0.6022531760401221,128281.18666770266,206482.00126903472,42634816848.06566,9,success,cook_county_with_preprocessing,Cook County learning curves with preprocessing,,,,,,,,,,
tabpfn,5000,39011,69,1.0077040195465088,79.0879156589508,0.562549801919981,133237.75121179764,216542.50146048298,46890654938.763275,0,success,cook_county_with_preprocessing,Cook County learning curves with preprocessing,,,,,,,,,,
tabpfn,5000,39011,69,1.0062892436981201,79.07017636299133,0.6338564013809957,122183.17653934947,198109.16314749458,39247240523.00062,1,success,cook_county_with_preprocessing,Cook County learning curves with preprocessing,,,,,,,,,,
tabpfn,5000,39011,69,1.0367579460144043,80.06529879570007,0.6191962167378552,124667.5127083547,202036.32855141404,40818678054.53493,2,success,cook_county_with_preprocessing,Cook County learning curves with preprocessing,,,,,,,,,,
tabpfn,5000,39011,69,1.012282371520996,79.83314895629883,0.6109809583054249,125426.10529762438,204204.01200950745,41699278520.77906,3,success,cook_county_with_preprocessing,Cook County learning curves with preprocessing,,,,,,,,,,
tabpfn,5000,39011,69,0.9989984035491943,79.0815019607544,0.6119757427186843,125063.83518610937,203942.75359080787,41592646742.20098,4,success,cook_county_with_preprocessing,Cook County learning curves with preprocessing,,,,,,,,,,
tabpfn,5000,39011,69,1.023824691772461,79.03368043899536,0.6220022508017695,123733.3730342083,201290.5782726919,40517896901.354706,5,success,cook_county_with_preprocessing,Cook County learning curves with preprocessing,,,,,,,,,,
tabpfn,5000,39011,69,0.9987351894378662,81.89540219306946,0.6105209498909334,124353.28581201455,204324.71022840697,41748587209.92247,6,success,cook_county_with_preprocessing,Cook County learning curves with preprocessing,,,,,,,,,,
tabpfn,5000,39011,69,1.0029511451721191,78.2744550704956,0.6081907198103347,125243.9781642117,204935.0300305971,41998366533.64173,7,success,cook_county_with_preprocessing,Cook County learning curves with preprocessing,,,,,,,,,,
tabpfn,5000,39011,69,1.0073401927947998,79.77124786376953,0.6011953488313049,126072.00439038829,206756.39346091182,42748206236.96338,8,success,cook_county_with_preprocessing,Cook County learning curves with preprocessing,,,,,,,,,,
tabpfn,5000,39011,69,1.0493543148040771,80.03731799125671,0.6086270598382463,126108.54238868524,204820.88486962885,41951594878.777756,9,success,cook_county_with_preprocessing,Cook County learning curves with preprocessing,,,,,,,,,,
