experiment_name,experiment_description,fips,bin_name,repetition,fold,model,train_size,test_size,n_features,fit_time,pred_time,r2,mae,rmse,mse
calibration_no_preprocessing,"Calibration analysis with raw features, no transformations",28125,small,6,4,tabpfn,64,16,67,0.4557802677154541,0.21364331245422363,0.40283607207895566,25685.384765625,37076.480654424195,1374665417.7178917
calibration_no_preprocessing,"Calibration analysis with raw features, no transformations",28125,small,7,0,tabpfn,64,16,67,0.46709108352661133,0.21422195434570312,0.034858746398136575,36946.13513183594,57739.11297031047,3333805166.598274
calibration_no_preprocessing,"Calibration analysis with raw features, no transformations",28125,small,7,1,tabpfn,64,16,67,0.4430503845214844,0.21285271644592285,0.3453305168279287,32278.318359375,46878.01935738956,2197548698.87179
calibration_no_preprocessing,"Calibration analysis with raw features, no transformations",28125,small,7,2,tabpfn,64,16,67,0.4502861499786377,0.2146778106689453,-0.14060155188003542,29462.984375,55663.998561288114,3098480735.831085
calibration_no_preprocessing,"Calibration analysis with raw features, no transformations",28125,small,7,3,tabpfn,64,16,67,0.4792802333831787,0.21425127983093262,-2.699177859884677,21525.01025390625,40819.33982991026,1666218504.1496983
calibration_no_preprocessing,"Calibration analysis with raw features, no transformations",28125,small,7,4,tabpfn,64,16,67,0.46503305435180664,0.21421027183532715,0.11176723709659364,47496.248779296875,95404.63734094297,9102044826.156849
calibration_no_preprocessing,"Calibration analysis with raw features, no transformations",28125,small,8,0,tabpfn,64,16,67,0.4760880470275879,0.21484160423278809,-0.1315511938626701,17485.502685546875,27969.339842427184,782283971.2211847
calibration_no_preprocessing,"Calibration analysis with raw features, no transformations",28125,small,8,1,tabpfn,64,16,67,0.4569544792175293,0.2159731388092041,0.1123484260385118,67140.53466796875,105514.24145260379,11133255149.31837
calibration_no_preprocessing,"Calibration analysis with raw features, no transformations",28125,small,8,2,tabpfn,64,16,67,0.46808671951293945,0.21477842330932617,-2.4907374072467166,30722.766357421875,63070.055182161734,3977831860.6809263
calibration_no_preprocessing,"Calibration analysis with raw features, no transformations",28125,small,8,3,tabpfn,64,16,67,0.4518444538116455,0.21379327774047852,-0.3450419293030711,31940.987670898438,60658.98160742032,3679512049.649357
calibration_no_preprocessing,"Calibration analysis with raw features, no transformations",28125,small,8,4,tabpfn,64,16,67,0.4415607452392578,0.21303129196166992,0.5265437995379972,19839.966796875,29957.863233145446,897473569.4958477
calibration_no_preprocessing,"Calibration analysis with raw features, no transformations",28125,small,9,0,tabpfn,64,16,67,0.4492330551147461,0.21416592597961426,0.21647829453000245,47076.708740234375,93689.28817363613,8777682718.482635
calibration_no_preprocessing,"Calibration analysis with raw features, no transformations",28125,small,9,1,tabpfn,64,16,67,0.462085485458374,0.21332931518554688,-0.3813592653195954,39085.49755859375,66691.65183335125,4447776424.260942
calibration_no_preprocessing,"Calibration analysis with raw features, no transformations",28125,small,9,2,tabpfn,64,16,67,0.44289135932922363,0.2126941680908203,0.3924094637993343,16014.613037109375,19036.758249330396,362398164.6434488
calibration_no_preprocessing,"Calibration analysis with raw features, no transformations",28125,small,9,3,tabpfn,64,16,67,0.46826171875,0.21530961990356445,-1.3288101412705005,43848.822265625,82724.40765423163,6843327621.743498
calibration_no_preprocessing,"Calibration analysis with raw features, no transformations",28125,small,9,4,tabpfn,64,16,67,0.44571948051452637,0.2132399082183838,-0.11650951757613126,33431.393798828125,48151.775856748216,2318593518.1585207
