fips,filename,row_count,file_size_bytes,file_size_mb
13107,fips_13107.csv,779,696755,0.66
13109,fips_13109.csv,624,549849,0.52
13111,fips_13111.csv,6290,5494693,5.24
13113,fips_13113.csv,13207,11086287,10.57
13115,fips_13115.csv,8448,7132565,6.8
13117,fips_13117.csv,33290,28548167,27.23
13119,fips_13119.csv,1699,1476777,1.41
13121,fips_13121.csv,73679,63448802,60.51
13123,fips_13123.csv,5505,4708659,4.49
13125,fips_13125.csv,122,107940,0.1
13127,fips_13127.csv,7355,6260101,5.97
13129,fips_13129.csv,3811,3325153,3.17
13131,fips_13131.csv,1218,1045615,1.0
13133,fips_13133.csv,4208,3602457,3.44
13135,fips_13135.csv,62294,53653270,51.17
13137,fips_13137.csv,4671,4013856,3.83
13139,fips_13139.csv,22400,19298754,18.4
13141,fips_13141.csv,1134,957147,0.91
13143,fips_13143.csv,2340,2032369,1.94
13145,fips_13145.csv,2961,2586198,2.47
13147,fips_13147.csv,2338,1983177,1.89
13149,fips_13149.csv,714,627756,0.6
13151,fips_13151.csv,22569,19496002,18.59
13153,fips_13153.csv,13351,11562793,11.03
13155,fips_13155.csv,337,291101,0.28
13157,fips_13157.csv,9542,8086944,7.71
13159,fips_13159.csv,1651,1437850,1.37
13161,fips_13161.csv,410,352510,0.34
13163,fips_13163.csv,686,597137,0.57
13165,fips_13165.csv,333,288677,0.28
13167,fips_13167.csv,229,203953,0.19
13169,fips_13169.csv,2021,1735822,1.66
13171,fips_13171.csv,1845,1589599,1.52
13173,fips_13173.csv,678,583293,0.56
13175,fips_13175.csv,3412,2978732,2.84
13177,fips_13177.csv,2468,2148190,2.05
13179,fips_13179.csv,5262,4440110,4.23
13181,fips_13181.csv,1230,1063583,1.01
13183,fips_13183.csv,1453,1228430,1.17
13185,fips_13185.csv,11701,10105196,9.64
13187,fips_13187.csv,2473,2165580,2.07
13189,fips_13189.csv,1516,1292309,1.23
13191,fips_13191.csv,1188,1012697,0.97
13193,fips_13193.csv,440,385841,0.37
13195,fips_13195.csv,2374,2038658,1.94
13197,fips_13197.csv,419,367944,0.35
13199,fips_13199.csv,1177,1038549,0.99
13201,fips_13201.csv,322,284423,0.27
13205,fips_13205.csv,713,612913,0.58
13207,fips_13207.csv,3327,2852768,2.72
13209,fips_13209.csv,498,440765,0.42
13211,fips_13211.csv,2138,1872212,1.79
13213,fips_13213.csv,2107,1838411,1.75
13215,fips_13215.csv,16845,14553751,13.88
13217,fips_13217.csv,12007,10408743,9.93
13219,fips_13219.csv,3303,2818474,2.69
13221,fips_13221.csv,790,685872,0.65
13223,fips_13223.csv,21319,18311711,17.46
13225,fips_13225.csv,1968,1662234,1.59
13227,fips_13227.csv,3763,3264341,3.11
13229,fips_13229.csv,1268,1090100,1.04
13231,fips_13231.csv,1575,1364901,1.3
13233,fips_13233.csv,3681,3143826,3.0
13235,fips_13235.csv,545,476983,0.45
13237,fips_13237.csv,2877,2476068,2.36
13239,fips_13239.csv,271,240614,0.23
13241,fips_13241.csv,2211,1927098,1.84
13243,fips_13243.csv,226,201125,0.19
13245,fips_13245.csv,18292,16161409,15.41
13247,fips_13247.csv,8187,7325116,6.99
13249,fips_13249.csv,315,276408,0.26
13251,fips_13251.csv,661,580866,0.55
13253,fips_13253.csv,783,672788,0.64
13255,fips_13255.csv,7737,6658734,6.35
13257,fips_13257.csv,1997,1717239,1.64
13259,fips_13259.csv,146,127025,0.12
13261,fips_13261.csv,1980,1756343,1.67
13263,fips_13263.csv,296,259298,0.25
13265,fips_13265.csv,73,66154,0.06
13267,fips_13267.csv,939,821101,0.78
13269,fips_13269.csv,250,219715,0.21
13271,fips_13271.csv,364,320123,0.31
13273,fips_13273.csv,473,412441,0.39
13275,fips_13275.csv,3318,2897259,2.76
13277,fips_13277.csv,2309,2012304,1.92
13279,fips_13279.csv,1044,923455,0.88
13281,fips_13281.csv,2682,2282037,2.18
13283,fips_13283.csv,155,138616,0.13
13285,fips_13285.csv,6155,5361522,5.11
13287,fips_13287.csv,278,234951,0.22
13289,fips_13289.csv,244,212218,0.2
13291,fips_13291.csv,4774,4056980,3.87
13293,fips_13293.csv,2117,1846767,1.76
13295,fips_13295.csv,5739,4990460,4.76
13297,fips_13297.csv,12220,10635754,10.14
13299,fips_13299.csv,2528,2186121,2.08
13301,fips_13301.csv,188,167957,0.16
13303,fips_13303.csv,910,799470,0.76
13305,fips_13305.csv,2306,1957345,1.87
13307,fips_13307.csv,87,77747,0.07
13309,fips_13309.csv,142,123816,0.12
13311,fips_13311.csv,2571,2228051,2.12
13313,fips_13313.csv,6143,5212778,4.97
13315,fips_13315.csv,265,232588,0.22
13317,fips_13317.csv,514,454468,0.43
13319,fips_13319.csv,360,313156,0.3
13321,fips_13321.csv,1013,870053,0.83
15001,fips_15001.csv,9662,8385003,8.0
15003,fips_15003.csv,17896,14943389,14.25
15007,fips_15007.csv,2190,1913908,1.83
15009,fips_15009.csv,5271,4581897,4.37
16001,fips_16001.csv,26785,21754308,20.75
16003,fips_16003.csv,260,217780,0.21
16005,fips_16005.csv,6117,5235913,4.99
16007,fips_16007.csv,616,513750,0.49
16009,fips_16009.csv,695,593353,0.57
16011,fips_16011.csv,2199,1847527,1.76
16013,fips_16013.csv,564,471767,0.45
16015,fips_16015.csv,276,235956,0.23
16017,fips_16017.csv,2122,1801086,1.72
16019,fips_16019.csv,7717,6978449,6.66
16021,fips_16021.csv,779,685981,0.65
16023,fips_16023.csv,140,119482,0.11
16025,fips_16025.csv,128,106134,0.1
16027,fips_16027.csv,14391,12182041,11.62
16029,fips_16029.csv,513,423091,0.4
16031,fips_16031.csv,1239,1067645,1.02
16033,fips_16033.csv,21,21019,0.02
16035,fips_16035.csv,371,321988,0.31
16037,fips_16037.csv,229,198740,0.19
16039,fips_16039.csv,1623,1411500,1.35
16041,fips_16041.csv,978,833808,0.8
16043,fips_16043.csv,1157,979166,0.93
16045,fips_16045.csv,1177,1017626,0.97
16047,fips_16047.csv,404,348551,0.33
16049,fips_16049.csv,925,759817,0.72
16051,fips_16051.csv,1023,865449,0.83
16053,fips_16053.csv,982,800946,0.76
16055,fips_16055.csv,11292,9585409,9.14
16057,fips_16057.csv,1303,1072565,1.02
16059,fips_16059.csv,511,442263,0.42
16061,fips_16061.csv,259,229012,0.22
16063,fips_16063.csv,304,266072,0.25
16065,fips_16065.csv,975,833453,0.79
16067,fips_16067.csv,1240,1080414,1.03
16069,fips_16069.csv,3018,2638483,2.52
16071,fips_16071.csv,315,278313,0.27
16073,fips_16073.csv,704,604557,0.58
16075,fips_16075.csv,1763,1431973,1.37
16077,fips_16077.csv,396,339630,0.32
16079,fips_16079.csv,1262,1083668,1.03
16081,fips_16081.csv,337,280468,0.27
16083,fips_16083.csv,5628,4757191,4.54
16085,fips_16085.csv,1539,1229717,1.17
16087,fips_16087.csv,805,704141,0.67
17001,fips_17001.csv,5947,4886231,4.66
17005,fips_17005.csv,815,691944,0.66
17007,fips_17007.csv,2635,2276941,2.17
17009,fips_17009.csv,286,237342,0.23
17011,fips_17011.csv,2538,2122101,2.02
17015,fips_17015.csv,1601,1373479,1.31
17017,fips_17017.csv,1508,1295620,1.24
17019,fips_17019.csv,13532,11121000,10.61
17021,fips_17021.csv,2324,1954294,1.86
17023,fips_17023.csv,1762,1468622,1.4
17025,fips_17025.csv,1216,993983,0.95
17027,fips_17027.csv,1985,1698028,1.62
17029,fips_17029.csv,3187,2715431,2.59
